total_kills,target,league,league_mean_kills,mean_total_kills_t1,mean_total_kills_t2,impact_top_t1,impact_top_t2,impact_jung_t1,impact_jung_t2,impact_mid_t1,impact_mid_t2,impact_adc_t1,impact_adc_t2,impact_sup_t1,impact_sup_t2
35,1,LPL,29.81377551020408,27.55223880597015,31.03680981595092,0.0,-0.6403120432933953,0.0,-0.5429342414812517,0.8962885229138884,0.0,0.6062151223801955,0.6662175141524997,-0.7325665817216667,-0.921677589708203
30,1,LCK,28.729323308270676,26.86,29.775862068965516,-0.5037518269163179,0.0,0.0,-0.9693097778453819,0.0,-0.3873551209826367,-0.37767264106295784,0.6062151223801955,1.2372613973041773,0.5242238058008439
22,0,LCP,27.095419847328245,26.57281553398058,27.736842105263158,-1.3603132380529956,0.0,0.32753807521989486,0.0,-0.7617602605765441,0.0,0.4429461064722737,-0.37767264106295784,0.0,-0.869088805005461
33,1,LCP,27.095419847328245,27.736842105263158,26.57281553398058,0.6017007159043573,0.0,0.0,-0.5429342414812517,0.0,0.8962885229138884,0.6662175141524997,-2.3910915340261134,0.5242238058008439,-0.7325665817216667
27,0,LCP,27.095419847328245,30.07547169811321,26.608695652173914,0.848657229316764,-1.3603132380529956,-0.5429342414812517,-1.7737277475649158,0.0,0.0,0.6662175141524997,-2.3910915340261134,1.2372613973041773,0.0
31,1,LCP,27.095419847328245,30.07547169811321,26.608695652173914,0.0,-0.5037518269163179,-0.5784372716376573,0.0,-0.6846922688699593,0.0,0.0,-1.4516505402372957,-0.921677589708203,-0.7325665817216667
21,0,LCP,27.095419847328245,26.608695652173914,30.07547169811321,-0.45679640886142536,0.6303717191188873,0.32753807521989486,0.0,0.0,0.0,0.46100413175601673,-0.37767264106295784,0.0,1.6828904338588373
30,1,LCK,28.729323308270676,27.976744186046513,26.563218390804597,-0.45679640886142536,0.0,-0.9208904100982842,-0.5784372716376573,2.2162105841455677,0.0,0.46100413175601673,0.0,-0.869088805005461,1.2372613973041773
36,1,LCK,28.729323308270676,26.563218390804597,27.976744186046513,-0.6403120432933953,0.848657229316764,0.5389634199095568,1.514530654879433,0.8962885229138884,0.0,0.6062151223801955,-0.37767264106295784,1.6828904338588373,1.3285426964776796
43,1,LCK,28.729323308270676,29.378947368421052,29.253623188405797,0.0,-0.45679640886142536,0.5389634199095568,0.32753807521989486,0.8962885229138884,0.0,-0.37767264106295784,-0.657179183981043,-0.869088805005461,-0.921677589708203
