total_kills,league_mean_kills,league,mean_total_kills_t1,mean_total_kills_t2,bet_line,bet_value,bet_status,house_odds,actual_value,impact_top_t1,impact_top_t2,impact_jung_t1,impact_jung_t2,impact_mid_t1,impact_mid_t2,impact_adc_t1,impact_adc_t2,impact_sup_t1,impact_sup_t2,won_bet,profit_bet,prob_under,aposta_vencedora,lucro_aposta,probabilidade_under,valor_esperado,recomendado_modelo
35,29.229559748427672,LFL,25.97647058823529,29.26086956521739,under,28.5,lost,1.83,35.0,-1.155716943849221,0.0,0.0,0.0,0.0,0.0,-0.468056459937813,0.0,-1.057365285027263,-0.6816806276591585,0,-1.0,0.7048449455035345,0,-1.0,0.7048449455035345,0.2898662502714682,True
17,27.14814814814815,LEC,27.19298245614035,29.153846153846157,under,30.5,won,1.83,17.0,0.0,0.5609560677137821,-0.6320467219229506,-0.7760435577368519,-0.6263770292967372,0.0,0.9020397066897204,-0.8113044475574895,-1.078880905409381,-1.1261807448375052,1,0.8300000000000001,0.698958604765921,1,0.8300000000000001,0.698958604765921,0.2790942467216354,True
26,30.07286432160804,LPL,29.01020408163265,30.82258064516129,under,28.5,won,1.83,26.0,0.0,0.5609560677137821,-0.6320467219229506,-1.0332368361565436,0.0,-1.1986585288014666,0.0,0.9020397066897204,-0.6816806276591585,-1.1261807448375052,1,0.8300000000000001,0.6956306967397681,1,0.8300000000000001,0.6956306967397681,0.2730041750337756,True
20,33.06190476190476,NLC,29.694444444444443,30.6,under,32.5,won,1.83,20.0,-1.155716943849221,-1.5721442954792302,-0.7760435577368519,-0.6320467219229506,0.6655385399034301,-0.8095983863874423,-0.468056459937813,0.9020397066897204,1.120551452057974,-0.6816806276591585,1,0.8300000000000001,0.6921162220571017,1,0.8300000000000001,0.6921162220571017,0.26657268636449605,True
35,36.1413612565445,EBL,31.58620689655172,30.5,under,34.5,won,1.83,30.0,0.0,-1.155716943849221,-0.6320467219229506,-0.7760435577368519,-0.8095983863874423,0.0,0.0,-1.4326523672446747,-1.078880905409381,0.0,1,0.8300000000000001,0.6895204178168065,1,0.8300000000000001,0.6895204178168065,0.26182236460475594,True
27,29.229559748427672,LFL,25.97647058823529,29.155555555555555,under,29.5,won,1.83,26.0,0.0,0.0,-0.6320467219229506,0.0,0.0,0.0,-1.4326523672446747,0.0,0.0,-1.1261807448375052,1,0.8300000000000001,0.6877897850668234,1,0.8300000000000001,0.6877897850668234,0.25865530667228687,True
25,29.229559748427672,LFL,29.57943925233645,25.97647058823529,under,30.5,won,1.83,25.0,0.0,0.0,-0.6320467219229506,-0.7760435577368519,-0.8095983863874423,0.6655385399034301,0.0,0.9020397066897204,-0.6816806276591585,-1.078880905409381,1,0.8300000000000001,0.6873543013609821,1,0.8300000000000001,0.6873543013609821,0.2578583714905972,True
25,28.83148148148148,LCK,28.091603053435115,26.92079207920792,under,29.5,won,1.83,25.0,-1.5721442954792302,0.5609560677137821,-0.7760435577368519,-0.6320467219229506,0.6655385399034301,0.0,-1.2403757694101287,0.9020397066897204,-1.1261807448375052,1.7827561319782248,1,0.8300000000000001,0.6866996988541362,1,0.8300000000000001,0.6866996988541362,0.25666044890306927,True
31,29.229559748427672,LFL,29.44155844155844,30.5,under,30.5,lost,1.83,31.0,-0.5685724682663711,0.0,0.0,-0.7760435577368519,0.0,0.0,0.0,-1.4326523672446747,-1.078880905409381,-1.1261807448375052,0,-1.0,0.6848211369568548,0,-1.0,0.6848211369568548,0.25322268063104425,True
24,30.07286432160804,LPL,31.526946107784436,28.48175182481752,under,30.5,won,1.83,24.0,-0.5685724682663711,-1.155716943849221,-0.64039106873566,0.0,-0.8095983863874423,0.0,0.0,-0.913098065074376,0.0,-1.1261807448375052,1,0.8300000000000001,0.6846161587454672,1,0.8300000000000001,0.6846161587454672,0.25284757050420503,True
