league,year,date,game,patch,side,t1,t2,top_t1,jung_t1,mid_t1,adc_t1,sup_t1,top_t2,jung_t2,mid_t2,adc_t2,sup_t2,kills_t2,market_name,selection_line,bet_line,bet_value,bet_type,event_id,bet_status,house_odds,home_score,away_score,actual_value,gamelength,total_kills,result_t1,matched_map,matching_score
NACL,2025,2025-07-18 22:00:00,Supernova vs CCG Esports,15.14,Blue,Supernova,CCG Esports,Sion,Xin Zhao,Orianna,Aphelios,Lulu,Aatrox,Wukong,Taliyah,Lucian,Nami,20,Map 1 - Totals,Over Total Kills,over,29.5,kills,1c0fe1ec72fbd1ecfe37,lost,1.83,0,0,28.0,29.7,28,0,1,HIGH
LPL,2025,2025-07-19 06:00:00,Weibo Gaming vs FunPlus Phoenix,15.14,Blue,Weibo Gaming,FunPlus Phoenix,Jayce,Pantheon,Orianna,Xayah,Rakan,Gwen,Xin Zhao,Taliyah,Ezreal,Nautilus,1,Map 1 - Totals,Under Total Kills,under,30.5,kills,729a3fa7d5415fcd6e40,won,1.83,0,0,14.0,33.15,14,1,1,HIGH
LPL,2025,2025-07-19 06:00:00,Weibo Gaming vs FunPlus Phoenix,15.14,Blue,Weibo Gaming,FunPlus Phoenix,Rumble,Sejuani,Yone,Lucian,Taric,Ambessa,Wukong,Aurora,Sivir,Leona,9,Map 2 - Totals,Under Total Kills,under,30.5,kills,729a3fa7d5415fcd6e40,won,1.83,0,0,26.0,30.15,26,1,2,HIGH
VCS,2025,2025-07-19 07:00:00,Saigon Dino vs Never Give Up,15.13,Blue,Saigon Dino,Never Give Up,Sion,Trundle,Azir,Senna,Tahm Kench,Ambessa,Lee Sin,Taliyah,Sivir,Alistar,13,Map 1 - Totals,Over Total Kills,over,33.5,kills,9c07e799863189680148,lost,1.83,0,0,13.0,26.2,13,0,1,HIGH
VCS,2025,2025-07-19 07:00:00,Saigon Dino vs Never Give Up,15.13,Blue,Saigon Dino,Never Give Up,K'Sante,Naafiri,Ryze,Ezreal,Poppy,Gnar,Wukong,Annie,Kai'Sa,Rakan,9,Map 2 - Totals,Over Total Kills,over,33.5,kills,9c07e799863189680148,lost,1.83,0,0,33.0,27.83,33,1,2,HIGH
HLL,2025,2025-07-19 10:00:00,Actions Per Minute vs Team Paradox,15.13,Blue,Actions Per Minute,Team Paradox,Ornn,Naafiri,Taliyah,Varus,Rakan,K'Sante,Nocturne,Hwei,Jhin,Rell,30,Map 1 - Totals,Under Total Kills,under,35.5,kills,b49e27b43d7ffed6a400,won,1.83,0,0,34.0,26.83,34,0,1,HIGH
HLL,2025,2025-07-19 10:00:00,Actions Per Minute vs Team Paradox,15.13,Blue,Actions Per Minute,Team Paradox,Renekton,Wukong,Aurora,Corki,Leona,Shen,Xin Zhao,Azir,Senna,Nautilus,16,Map 2 - Totals,Under Total Kills,under,35.5,kills,b49e27b43d7ffed6a400,lost,1.83,0,0,36.0,35.73,36,1,2,HIGH
PRM,2025,2025-07-19 13:00:00,ROSSMANN Centaurs vs Berlin International Gaming,15.13,Blue,ROSSMANN Centaurs,Berlin International Gaming,Renekton,Nocturne,Orianna,Ashe,Renata Glasc,K'Sante,Vi,Azir,Xayah,Milio,18,Map 1 - Totals,Over Total Kills,over,33.5,kills,bf9d9832e3413cba5422,lost,1.83,0,0,27.0,33.58,27,0,1,HIGH
PRM,2025,2025-07-19 13:00:00,ROSSMANN Centaurs vs Berlin International Gaming,15.13,Blue,ROSSMANN Centaurs,Berlin International Gaming,Aatrox,Wukong,Annie,Corki,Braum,Ambessa,Trundle,Viktor,Jhin,Rell,8,Map 2 - Totals,Over Total Kills,over,33.5,kills,bf9d9832e3413cba5422,lost,1.83,0,0,31.0,33.3,31,1,2,HIGH
AL,2025,2025-07-19 15:00:00,Dragons Esports vs Fox Gaming,15.13,Blue,Dragons Esports,Fox Gaming,Aatrox,Xin Zhao,Ahri,Xayah,Rakan,Rumble,Wukong,Orianna,Lucian,Renata Glasc,19,Map 1 - Totals,Over Total Kills,over,35.5,kills,36b73b766dda1bf7915e,won,1.83,0,0,43.0,43.05,43,0,1,HIGH
AL,2025,2025-07-19 15:00:00,Dragons Esports vs Fox Gaming,15.13,Blue,Dragons Esports,Fox Gaming,Ambessa,Poppy,Viktor,Corki,Neeko,Jax,Vi,Aurora,Aphelios,Bard,22,Map 2 - Totals,Over Total Kills,over,35.5,kills,36b73b766dda1bf7915e,lost,1.83,0,0,28.0,29.65,28,0,2,HIGH
PRM,2025,2025-07-19 15:00:00,Eintracht Spandau vs TeamOrangeGaming,15.13,Blue,Eintracht Spandau,TeamOrangeGaming,Rumble,Xin Zhao,Azir,Jhin,Rell,K'Sante,Vi,Kog'Maw,Ezreal,Rakan,13,Map 1 - Totals,Over Total Kills,over,33.5,kills,f9d4b82d4dbd6673c65a,won,1.83,0,0,43.0,32.48,43,1,1,HIGH
PRM,2025,2025-07-19 15:00:00,Eintracht Spandau vs TeamOrangeGaming,15.13,Blue,Eintracht Spandau,TeamOrangeGaming,Gwen,Jarvan IV,Orianna,Sivir,Alistar,Ambessa,Naafiri,Hwei,Corki,Leona,7,Map 2 - Totals,Over Total Kills,over,33.5,kills,f9d4b82d4dbd6673c65a,lost,1.83,0,0,28.0,26.3,28,1,2,HIGH
LPL,2025,2025-07-21 06:00:00,Ultra Prime vs ThunderTalk Gaming,15.14,Blue,Ultra Prime,ThunderTalk Gaming,Sion,Xin Zhao,Taliyah,Ezreal,Braum,Rumble,Vi,Ahri,Smolder,Alistar,7,Map 1 - Totals,Under Total Kills,under,27.5,kills,aea76666dc3049638daa,won,1.83,0,0,19.0,30.0,19,1,1,HIGH
LPL,2025,2025-07-21 06:00:00,Ultra Prime vs ThunderTalk Gaming,15.14,Blue,Ultra Prime,ThunderTalk Gaming,K'Sante,Lee Sin,Annie,Senna,Nautilus,Gnar,Wukong,Aurora,Sivir,Leona,5,Map 2 - Totals,Under Total Kills,under,27.5,kills,aea76666dc3049638daa,won,1.83,0,0,21.0,32.88,21,1,2,HIGH
