league,t1,t2,top_t1,jung_t1,mid_t1,adc_t1,sup_t1,top_t2,jung_t2,mid_t2,adc_t2,sup_t2,total_kills,bet_value
LPL,Ultra Prime,ThunderTalk Gaming,Sion,Xin Zhao,Taliyah,Ezreal,Braum,Rumble,Vi,Ahri,Smolder,Alistar,19,27.5
LPL,Ultra Prime,ThunderTalk Gaming,K'Sante,Lee Sin,Annie,Senna,Nautilus,Gnar,Wukong,Aurora,Sivir,Leona,21,27.5
CD,RED Academy,Vivo Keyd Stars Academy,Rumble,Vi,Taliyah,Corki,Alistar,Sion,Xin Zhao,Aurora,Miss Fortune,Bard,35,29.5
CD,Corinthians Esports,Los Grandes,Jayce,Wukong,Taliyah,Varus,Rell,Sion,Trundle,Orianna,Yasuo,Alistar,27,27.5
LCK,Hanwha Life Esports Challengers,OKSavingsBank BRION Challengers,Gwen,Zed,Ahri,Ezreal,Rakan,Jax,Trundle,Taliyah,Xayah,Nautilus,30,28.5
LCK,Hanwha Life Esports Challengers,OKSavingsBank BRION Challengers,K'Sante,Lee Sin,Azir,Varus,Alistar,Sion,Wukong,Aurora,Kai'Sa,Neeko,27,28.5
LCK,BNK FEARX Youth,Gen.G Global Academy,K'Sante,Xin Zhao,Azir,Miss Fortune,Rell,Rumble,Maokai,Yone,Lucian,Braum,20,30.5
LCK,BNK FEARX Youth,Gen.G Global Academy,Ambessa,Jarvan IV,Taliyah,Kai'Sa,Poppy,Sion,Wukong,Aurora,Sivir,Alistar,25,30.5
PRM,Eintracht Frankfurt,ROSSMANN Centaurs,Rumble,Skarner,Taliyah,Xayah,Rell,Gwen,Vi,Annie,Corki,Pyke,44,32.5
PRM,Eintracht Frankfurt,ROSSMANN Centaurs,K'Sante,Jarvan IV,Viktor,Varus,Rakan,Jayce,Trundle,Galio,Jhin,Nautilus,41,32.5
LVP SL,UCAM Esports,ZETA,Sion,Nocturne,Ahri,Xayah,Rakan,Ornn,Vi,Taliyah,Zeri,Rell,33,32.5
PRM,E WIE EINFACH E-SPORTS,Berlin International Gaming,Sion,Bel'Veth,Taliyah,Xayah,Renata Glasc,Shen,Vi,Orianna,Smolder,Alistar,23,32.5
PRM,E WIE EINFACH E-SPORTS,Berlin International Gaming,Jax,Wukong,Twisted Fate,Varus,Braum,K'Sante,Viego,Ahri,Sivir,Rakan,30,32.5
CD,Corinthians Esports,Stellae Gaming,Gwen,Nocturne,Ahri,Miss Fortune,Nautilus,Jayce,Maokai,Taliyah,Ezreal,Rell,28,27.5
LPL,FunPlus Phoenix,Top Esports,K'Sante,Wukong,Annie,Senna,Alistar,Sion,Xin Zhao,Taliyah,Lucian,Braum,29,31.5
LPL,FunPlus Phoenix,Top Esports,Rumble,Nocturne,Orianna,Xayah,Rakan,Ornn,Trundle,Akali,Sivir,Karma,30,31.5
HLL,Gamespace Mediterranean College Esports,Team Paradox,Rumble,Skarner,Orianna,Ezreal,Rell,Jayce,Trundle,Annie,Varus,Alistar,25,36.5
RL,Orbit Anonymo Esports,DOCISK,Dr. Mundo,Trundle,Aurora,Corki,Neeko,Sion,Ivern,Azir,Jhin,Rell,28,33.5
RL,Orbit Anonymo Esports,DOCISK,Aatrox,Xin Zhao,Ambessa,Ziggs,Poppy,Renekton,Wukong,Viktor,Miss Fortune,Rakan,51,33.5
