total_kills,league_mean_kills,league,mean_total_kills_t1,mean_total_kills_t2,bet_line,bet_value,bet_status,house_odds,actual_value,impact_top_t1,impact_top_t2,impact_jung_t1,impact_jung_t2,impact_mid_t1,impact_mid_t2,impact_adc_t1,impact_adc_t2,impact_sup_t1,impact_sup_t2,won,profit,prob_under
28,34.5625,RL,31.918367346938776,38.3125,over,33.5,lost,1.83,28.0,2.561535058615348,0.0,-0.6320467219229506,-2.0515084196455184,0.0,-0.8095983863874423,0.5231029362444133,0.9020397066897204,0.0,0.4654990225793156,0,-1.0,0.3928663821800906
51,34.5625,RL,31.918367346938776,38.3125,over,33.5,won,1.83,51.0,0.0,-0.5685724682663711,0.0,-0.7760435577368519,2.556370739366521,-0.6263770292967372,-1.4462880706363492,0.0,0.0,-1.1261807448375052,1,0.8300000000000001,0.49530416728441745
21,30.12878787878788,LVP SL,30.9811320754717,27.176470588235293,under,32.5,won,1.83,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9020397066897204,-0.6816806276591585,-1.078880905409381,1,0.8300000000000001,0.595409447996854
54,33.06190476190476,NLC,30.6,36.78260869565217,under,33.5,lost,1.83,54.0,0.0,0.0,1.256750867247696,0.0,1.0853159537389274,0.0,-2.378273094861868,0.5231029362444133,1.120551452057974,-0.9659723665617116,0,-1.0,0.34567870884049473
32,33.06190476190476,NLC,30.29824561403509,31.42528735632184,under,32.5,won,1.83,32.0,0.0,0.0,-2.4473084787996164,-1.0332368361565436,-0.8095983863874423,-1.234138311281054,0.0,-1.4462880706363492,-0.9659723665617116,-0.6816806276591585,1,0.8300000000000001,0.809923868082134
22,28.83148148148148,LCK,31.322916666666668,29.48958333333333,over,28.5,lost,1.83,22.0,0.0,0.5609560677137821,-0.7760435577368519,-0.6320467219229506,-1.0617142411045393,-0.6263770292967372,0.7520050888007717,0.9020397066897204,0.0,0.4654990225793156,0,-1.0,0.547318572922718
35,28.83148148148148,LCK,31.322916666666668,29.48958333333333,over,28.5,won,1.83,35.0,-1.155716943849221,0.0,-1.0332368361565436,1.0984264443831435,-0.8095983863874423,0.0,-0.913098065074376,0.0,-1.1261807448375052,-0.6816806276591585,1,0.8300000000000001,0.6652550001180689
22,30.07286432160804,LPL,28.48175182481752,31.696969696969692,over,30.5,lost,1.83,22.0,-1.155716943849221,0.5609560677137821,-0.7760435577368519,-0.6320467219229506,-0.8095983863874423,0.0,-0.8113044475574895,0.0,-0.6816806276591585,-0.9659723665617116,0,-1.0,0.7078930176726571
39,30.07286432160804,LPL,28.48175182481752,31.696969696969692,over,30.5,won,1.83,39.0,-0.5685724682663711,0.0,-0.751940118689614,1.0984264443831435,-1.0617142411045393,-0.6263770292967372,0.7520050888007717,0.9020397066897204,0.4654990225793156,-1.1261807448375052,1,0.8300000000000001,0.5485613173862763
41,30.07286432160804,LPL,29.01020408163265,26.4,under,27.5,lost,1.83,41.0,0.0,0.0,0.0,1.0984264443831435,0.6655385399034301,0.0,-0.8113044475574895,0.7520050888007717,-0.6816806276591585,0.0,0,-1.0,0.5424452268457635
22,30.07286432160804,LPL,29.01020408163265,26.4,under,27.5,won,1.83,22.0,0.5609560677137821,0.0,0.0,0.0,-0.8095983863874423,-1.0617142411045393,0.0,-0.913098065074376,-0.9659723665617116,-1.1261807448375052,1,0.8300000000000001,0.7100707202440867
